Scenario,Topic,Summary,Sentiment,Transcripts
Scenario 24,Card Services,Customer reports delayed debit card delivery. New card expedited and account monitored.,Worried,"Agente:
Gracias por llamar a Not-a-real Bank. Mi nombre es Megan. ¿En qué puedo ayudarte hoy?

Cliente (frustrado):
Sí, solicité una tarjeta de débito de reemplazo hace más de una semana y todavía no ha llegado.

Agente:
Lamento el inconveniente. Vamos a revisar tu cuenta. ¿Puedes confirmarme tu nombre completo y los últimos cuatro dígitos de tu tarjeta?

Cliente:
Soy David Lopez, y los últimos cuatro son 6789.

Agente:
Gracias, David. Veo que la tarjeta fue enviada el 5 de mayo a la dirección 123 Oak Street, Columbus, OH. ¿Es correcto?

Cliente:
Sí, pero hoy es 15 de mayo y no ha llegado.

Agente:
Entendido. Voy a iniciar un rastreo del envío. Mientras tanto, puedo enviarte una nueva tarjeta por entrega urgente. ¿Te gustaría proceder?

Cliente:
Sí, por favor. ¿Y qué pasa si la tarjeta original llega después?

Agente:
No la actives. Simplemente destrúyela o envíala de vuelta a nosotros. La tarjeta urgente llegará en 1-2 días hábiles.

Cliente:
Gracias por la ayuda.

Agente:
De nada, David. Mantente atento a tu correo y llámanos si necesitas algo más."
Scenario 25,Credit,Customer asks why their credit score dropped. Explanation provided regarding credit utilization and recent inquiries.,Confused,"Agente:
Gracias por llamar a Not-a-real Bank. Mi nombre es Kevin. ¿En qué puedo ayudarte hoy?

Cliente:
Hola, acabo de revisar mi puntaje de crédito en la aplicación del banco y ha bajado 50 puntos. ¿Por qué?

Agente:
Entiendo tu preocupación. Vamos a revisarlo. ¿Puedes confirmarme tu nombre completo y los últimos cuatro dígitos de tu cuenta?

Cliente:
Soy Lisa Martin, y los últimos cuatro son 6789.

Agente:
Gracias, Lisa. Veo que tu puntaje de crédito era de 720 el mes pasado y ahora es de 685. Las razones más comunes para una caída en el puntaje son:

    Consultas de crédito recientes.

    Aumento en la utilización del crédito.

    Pagos atrasados.

¿Has solicitado un nuevo crédito o aumentado el saldo en alguna tarjeta?

Cliente:
Sí, solicité una nueva tarjeta de crédito y compré algunos muebles a crédito.

Agente:
Eso podría explicarlo. A medida que pagues esos saldos y mantengas los pagos a tiempo, tu puntaje debería recuperarse.

Cliente:
Gracias por explicarlo. ¿Hay alguna forma de monitorear los cambios?

Agente:
Sí, puedes configurar alertas en la aplicación bancaria para recibir notificaciones sobre cambios en tu puntaje.

Cliente:
Perfecto. Gracias por tu ayuda.

Agente:
De nada, Lisa. Si necesitas más información, no dudes en llamarnos."
Scenario 26,Credit,Customer’s credit card application declined due to insufficient credit history. Secured card option discussed.,Disappointed,"Agente:
Gracias por llamar a Not-a-real Bank. Mi nombre es Ryan. ¿En qué puedo ayudarte hoy?

Cliente (frustrado):
Sí, acabo de recibir una carta diciendo que mi solicitud de tarjeta de crédito fue rechazada. No entiendo por qué.

Agente:
Lamento escuchar eso. Déjame revisar tu solicitud. ¿Puedes confirmarme tu nombre completo y los últimos cuatro dígitos de tu número de Seguro Social?

Cliente:
Soy John Harris, y los últimos cuatro son 9876.

Agente:
Gracias, John. Veo que tu solicitud fue rechazada el 10 de mayo debido a historial crediticio insuficiente. ¿Has tenido alguna tarjeta de crédito o préstamo antes?

Cliente:
No, esta iba a ser mi primera tarjeta.

Agente:
Entendido. Aquí hay algunas opciones:

    Podemos ofrecerte una tarjeta de crédito asegurada, que te ayudará a construir tu historial crediticio.

    También puedes intentar abrir una línea de crédito con un cofirmante, alguien con un historial más sólido.

¿Te gustaría recibir más información sobre la tarjeta asegurada?

Cliente:
Sí, por favor.

Agente:
Perfecto. Te enviaré un correo electrónico con todos los detalles. Puedes revisar y decidir cuándo aplicar.

Cliente:
De acuerdo. Gracias por la información.

Agente:
De nada, John. Si necesitas más ayuda, estamos aquí para asistirte."
Scenario 27,Credit,Customer reports a 50-point drop in credit score. Agent submits a goodwill adjustment request.,Worried,"Agente:
Gracias por llamar a Not-a-real Bank. Mi nombre es Lisa. ¿En qué puedo ayudarte hoy?

Cliente (preocupado):
Hola, mi puntaje de crédito bajó casi 50 puntos y creo que fue porque me atrasé en un pago. ¿Hay alguna forma de arreglarlo?

Agente:
Entiendo tu preocupación. Déjame revisar tu cuenta. ¿Puedes confirmarme tu nombre completo y los últimos cuatro dígitos de tu tarjeta de crédito?

Cliente:
Soy David Lee, y los últimos cuatro son 4567.

Agente:
Gracias, David. Veo que tu pago de $150 vencía el 15 de abril, pero lo recibimos el 2 de mayo, 17 días tarde.

Cliente:
Sí, me olvidé completamente.

Agente:
No te preocupes. Aquí hay algunas opciones:

    Puedo enviar una solicitud de ajuste de buena voluntad para intentar eliminar la marca de pago atrasado.

    También puedes pagar el saldo completo, lo cual ayudará a mejorar tu puntaje más rápidamente.

¿Te gustaría proceder con la solicitud de ajuste?

Cliente:
Sí, por favor.

Agente:
Listo. La solicitud ha sido enviada. Recibirás una respuesta en 7-10 días hábiles.

Cliente:
Gracias por tu ayuda.

Agente:
De nada, David. Mantente atento a tu correo y llámanos si tienes alguna duda."
Scenario 28,Credit,Customer requests to downgrade a premium card to a no-fee cash rewards card. Points converted to cash back.,Neutral,"Agente:
Gracias por llamar a Not-a-real Bank. Mi nombre es Brian. ¿En qué puedo ayudarte hoy?

Cliente:
Sí, quiero cambiar mi tarjeta de crédito Premier a una tarjeta básica sin tarifa anual.

Agente:
Entendido. ¿Puedes confirmarme tu nombre completo y los últimos cuatro dígitos de tu tarjeta?

Cliente:
Soy Sarah Kim, y los últimos cuatro son 7890.

Agente:
Gracias, Sarah. Tu tarjeta Premier tiene una tarifa anual de $95. Si cambias a la tarjeta básica, no habrá tarifa anual, pero no tendrás los beneficios de recompensas de viaje. ¿Estás de acuerdo?

Cliente:
Sí, ya no uso esos beneficios, así que está bien.

Agente:
De acuerdo. ¿Quieres que convertamos los puntos acumulados a reembolso en efectivo o los dejamos como están?

Cliente:
Conviértelos a efectivo, por favor.

Agente:
Perfecto. Los puntos serán convertidos a un crédito de $50 y aplicados a tu próxima factura. La nueva tarjeta será enviada en 5-7 días hábiles.

Cliente:
Gracias por gestionar esto.

Agente:
De nada, Sarah. Que tengas un excelente día."
Scenario 29,Business Banking,Business owner requests a temporary credit line increase for inventory purchase. Financials requested.,Hopeful,"Agente:
Gracias por llamar a Not-a-real Bank. Mi nombre es Emily. ¿En qué puedo ayudarte hoy?

Cliente (dueño de negocio):
Sí, tengo un pedido grande de inventario y necesito un aumento temporal del límite de crédito.

Agente:
Claro. ¿Puedes confirmarme el nombre de tu negocio y los últimos cuatro dígitos de tu cuenta comercial?

Cliente:
Es Global Supplies LLC, y los últimos cuatro son 3456.

Agente:
Gracias. Tu límite actual es de $10,000. ¿Cuánto necesitas aumentar y por cuánto tiempo?

Cliente:
Quisiera aumentarlo a $15,000 por los próximos 30 días.

Agente:
Entendido. Necesitaré una copia de tus estados financieros recientes para proceder con la solicitud. ¿Te gustaría enviarlos por correo electrónico o subirlos a nuestro portal?

Cliente:
Los enviaré por correo electrónico. ¿A qué dirección?

Agente:
Envíalos a businesssupport@notarealbank.com. Una vez recibidos, el proceso tomará 1-2 días hábiles.

Cliente:
De acuerdo. Gracias por tu ayuda.

Agente:
De nada. Te mantendremos informado sobre el estatus de la solicitud."
Scenario 30,Account Management,"Customer updates employment and salary information, affecting credit card and loan accounts.",Neutral,"Agente:
Gracias por llamar a Not-a-real Bank. Mi nombre es Rachel. ¿En qué puedo ayudarte hoy?

Cliente:
Hola, quiero actualizar mi información de empleo. Acabo de cambiar de trabajo.

Agente:
Felicidades por el nuevo empleo. ¿Puedes confirmarme tu nombre completo y los últimos cuatro dígitos de tu cuenta?

Cliente:
Soy Rachel Lopez, y los últimos cuatro son 7890.

Agente:
Gracias, Rachel. ¿Cuál es el nombre del nuevo empleador?

Cliente:
Es GreenTech Solutions.

Agente:
Perfecto. ¿Y tu nuevo ingreso anual?

Cliente:
$62,000 al año.

Agente:
Gracias. ¿Quieres que te envíe una confirmación por correo electrónico con los cambios?

Cliente:
Sí, por favor.

Agente:
De acuerdo. La confirmación llegará en 10 minutos. Si necesitas actualizar algo más, no dudes en llamarnos.

Cliente:
Gracias por la ayuda.

Agente:
De nada, Rachel. Que tengas un excelente día."
Scenario 31,Loans,Potential buyer asks for an overview of the mortgage process and down payment requirements.,Curious,"Agente:
Gracias por llamar a Not-a-real Bank. Mi nombre es Amanda. ¿En qué puedo ayudarte hoy?

Cliente:
Hola, estoy pensando en comprar una casa, pero nunca he solicitado una hipoteca antes. ¿Me puedes explicar cómo funciona el proceso?

Agente:
Por supuesto. Nos encantaría ayudarte con eso. ¿Estás buscando comprar una casa nueva o refinanciar una existente?

Cliente:
Comprar una nueva. Apenas estoy comenzando a ver opciones y quiero entender los requisitos.

Agente:
Entendido. Aquí tienes una descripción general del proceso hipotecario:

    Pre-aprobación: Revisamos tu puntaje crediticio, ingresos y deudas para determinar cuánto puedes pedir prestado.

    Solicitud: Proporcionas detalles financieros, como comprobantes de ingresos, declaraciones de impuestos y extractos bancarios.

    Selección de propiedad y tasación: Encuentras una casa y la tasamos para verificar su valor.

    Aprobación final: Revisión detallada de tus finanzas y de la propiedad.

    Cierre: Firmas los documentos y obtienes las llaves de tu nuevo hogar.

¿Te gustaría más información sobre los tipos de hipotecas que ofrecemos?

Cliente:
Sí, por favor. ¿Y cuánto necesito para el pago inicial?

Agente:
Para la mayoría de los préstamos, el pago inicial mínimo es del 5% al 20% del precio de la casa. También ofrecemos préstamos FHA con solo el 3.5% de pago inicial y préstamos VA para militares activos y veteranos, que no requieren pago inicial.

Cliente:
Perfecto. ¿Y mi puntaje de crédito? ¿Hay un mínimo?

Agente:
La mayoría de los préstamos requieren un puntaje mínimo de 620. Sin embargo, cuanto mayor sea tu puntaje, mejor será tu tasa de interés.

Cliente:
De acuerdo. Gracias por toda la información.

Agente:
De nada. Si decides avanzar, llámanos o visita nuestra página web para comenzar el proceso de pre-aprobación."
Scenario 32,ACH Transfers,"Customer asks for an explanation of ACH transfers, fees, and processing times.",Inquisitive,"Agente:
Gracias por llamar a Not-a-real Bank. Mi nombre es Kevin. ¿En qué puedo ayudarte hoy?

Cliente:
Hola, quiero saber cómo funcionan las transferencias ACH.

Agente:
Claro, te explico. ACH significa Automated Clearing House. Es una red que procesa pagos electrónicos, como depósitos directos, pagos de facturas y transferencias bancarias. Es una opción segura y de bajo costo para mover dinero sin usar cheques de papel.

Cliente:
¿Y es lo mismo que una transferencia bancaria?

Agente:
No exactamente. Las transferencias ACH son generalmente más lentas pero más baratas que las transferencias bancarias. Las ACH pueden tardar de 1 a 3 días hábiles, mientras que las transferencias bancarias suelen ser el mismo día, pero con tarifas más altas.

Cliente:
¿Y qué información necesito para hacer una transferencia ACH?

Agente:
Necesitarás:

    Nombre completo del destinatario.

    Número de cuenta bancaria del destinatario.

    Número de ruta del banco receptor.

    Monto a transferir.

¿Quieres que te envíe un formulario para completarlo?

Cliente:
Sí, por favor.

Agente:
Perfecto. Lo recibirás por correo electrónico en unos minutos."
Scenario 33,ACH Transfers,Customer follows up on a delayed ACH transfer. Agent confirms pending status and sets a notification alert.,Worried,"Agente:
Gracias por llamar a Not-a-real Bank. Mi nombre es Megan. ¿En qué puedo ayudarte hoy?

Cliente:
Hola, envié una transferencia ACH hace dos días, pero el dinero no ha llegado aún. ¿Puedes verificar el estado?

Agente:
Por supuesto. ¿Puedes confirmarme tu nombre completo y los últimos cuatro dígitos de tu cuenta?

Cliente:
Soy David Lopez, y los últimos cuatro son 6789.

Agente:
Gracias, David. Veo una transferencia ACH de $500 iniciada el 10 de mayo a ABC Savings Bank. ¿Es la que estás preguntando?

Cliente:
Sí, esa misma.

Agente:
El estado actual es pendiente, lo que significa que está en proceso en la red ACH. Las transferencias suelen tardar 1-3 días hábiles, por lo que debería reflejarse mañana. ¿Quieres que configure una alerta para notificarte cuando se complete?

Cliente:
Sí, por favor.

Agente:
Listo. Recibirás un mensaje tan pronto como se complete la transferencia."
Scenario 34,Account Management,Customer requests to set up overdraft protection linked to a savings account. Daily transfer limit explained.,Neutral,"Agente:
Gracias por llamar a Not-a-real Bank. Mi nombre es Lisa. ¿En qué puedo ayudarte hoy?

Cliente:
Hola, quiero configurar la protección contra sobregiros para mi cuenta de cheques.

Agente:
Claro. ¿Te gustaría vincular tu cuenta de ahorros o una tarjeta de crédito?

Cliente:
Mi cuenta de ahorros.

Agente:
Perfecto. ¿Puedes confirmarme tu nombre completo y los últimos cuatro dígitos de tu cuenta de ahorros?

Cliente:
Soy Rachel Lopez, y los últimos cuatro son 7890.

Agente:
Gracias, Rachel. La protección contra sobregiros está ahora activa. Si tu cuenta de cheques cae por debajo de $0, transferiremos automáticamente fondos de tu cuenta de ahorros con una tarifa de $10 por transferencia.

Cliente:
¿Hay un límite diario?

Agente:
Sí, el límite es de $1,000 por día.

Cliente:
Perfecto. Gracias por configurarlo."
Scenario 35,Fraud,Business owner reports multiple unauthorized charges. Fraud review initiated and account flagged.,Concerned,"Agente:
Gracias por llamar a Not-a-real Bank. Mi nombre es Rachel. ¿En qué puedo ayudarte hoy?

Cliente (preocupado):
Sí, tengo un negocio y acabo de notar tres cargos de $300 cada uno que no reconozco.

Agente:
Lamento escuchar eso. ¿Puedes confirmarme el nombre del negocio y los últimos cuatro dígitos de tu cuenta?

Cliente:
Es Global Supplies LLC, y los últimos cuatro son 3456.

Agente:
Gracias, veo los cargos. Todos son a XYZ Consulting en los últimos tres días. ¿Los reconoces?

Cliente:
No, nunca he trabajado con ellos.

Agente:
Entendido. Aquí está lo que vamos a hacer:

    Marcaremos estos cargos como no autorizados y colocaremos una retención temporal en tu cuenta.

    Iniciaremos una revisión por fraude y te enviaremos un formulario para completar.

    Si los cargos se confirman como fraudulentos, el dinero será reembolsado en 7-10 días hábiles.

¿Quieres proceder?

Cliente:
Sí, por favor.

Agente:
Listo. El formulario será enviado a tu correo electrónico en 10 minutos. Si necesitas algo más, llámanos."
Scenario 36,Account Management,Customer requests to reactivate a dormant account. Reactivation form emailed for completion.,Confused,"Agente:
Gracias por llamar a Not-a-real Bank. Mi nombre es Tom. ¿En qué puedo ayudarte hoy?

Cliente:
Hola, me dijeron que mi cuenta fue marcada como inactiva. ¿Cómo la reactivo?

Agente:
Claro. Déjame revisarlo por ti. ¿Puedes confirmarme tu nombre completo y los últimos cuatro dígitos de tu cuenta?

Cliente:
Soy Emily Zhang, y los últimos cuatro son 1234.

Agente:
Gracias, Emily. Veo que tu cuenta fue marcada como inactiva el 15 de febrero porque no tuvo actividad durante más de un año. Para reactivarla, necesitas realizar una transacción, como un depósito o un retiro.

Cliente:
¿Puedo hacerlo en línea?

Agente:
Lamentablemente, para cuentas inactivas, necesitarás visitar una sucursal en persona con una identificación válida.

Cliente:
¿Y si no estoy en la ciudad?

Agente:
En ese caso, puedo enviarte un formulario de reactivación por correo electrónico. Debes completarlo y devolverlo con una copia de tu identificación.

Cliente:
Está bien. Envíamelo a e.zhang@email.com.

Agente:
Listo. Lo recibirás en 15 minutos. Una vez que lo recibamos, tu cuenta será reactivada en 3-5 días hábiles."
Scenario 37,Elderly Support,Elderly customer requests step-by-step guidance on setting up online banking. Agent assists with enrollment.,Grateful,"Agente:
Gracias por llamar a Not-a-real Bank. Mi nombre es Lisa. ¿En qué puedo ayudarte hoy?

Cliente (anciano, dudoso):
Hola… no soy muy bueno con las computadoras, pero quiero configurar eso de la banca en línea.

Agente:
Por supuesto. Puedo guiarte paso a paso. ¿Estás usando un computador o un teléfono móvil?

Cliente:
Estoy en mi laptop.

Agente:
Perfecto. Primero, abre tu navegador de internet y escribe www.notarealbank.com. Avísame cuando llegues ahí.

Cliente:
Sí… ya estoy.

Agente:
Ahora, haz clic en “Registrarse en Banca en Línea”. Aparecerá un formulario donde debes ingresar tu número de cuenta y correo electrónico.

Cliente:
Ya lo hice. ¿Ahora qué?

Agente:
Ahora, recibirás un código de verificación en tu correo electrónico. ¿Lo ves?

Cliente:
Sí, aquí está. Es 489732.

Agente:
Excelente. Ingresa ese código y haz clic en “Enviar”. Ahora, crea una contraseña fácil de recordar pero difícil de adivinar.

Cliente:
Listo.

Agente:
¡Perfecto! Ahora ya tienes acceso a la banca en línea. Si necesitas ayuda navegando, puedo guiarte.

Cliente:
No, creo que estoy bien. Gracias por tu paciencia."
Scenario 38,Loans,"Customer requests current loan payoff amount. Agent provides the updated figure, including interest.",Neutral,"Agente:
Gracias por llamar a Not-a-real Bank. Mi nombre es Emily. ¿En qué puedo ayudarte hoy?

Cliente:
Hola, quiero pagar mi préstamo por completo, pero quiero saber cuánto debo exactamente.

Agente:
Claro. ¿Puedes confirmarme tu nombre completo y el número de tu cuenta de préstamo?

Cliente:
Soy Robert King, y el número es 12345678.

Agente:
Gracias, Robert. Veo que el monto total para liquidar tu préstamo hoy es de $4,823.45. Esto incluye el saldo pendiente, los intereses acumulados y cualquier tarifa aplicable.

Cliente:
¿Hasta cuándo es válido ese monto?

Agente:
Ese monto es válido hasta el 31 de mayo. Después de esa fecha, los intereses seguirán acumulándose y el monto podría cambiar.

Cliente:
De acuerdo. ¿Puedo hacer el pago en línea?

Agente:
Sí, puedes hacerlo a través del portal de banca en línea. También puedes enviar un cheque o pagar en persona en una sucursal.

Cliente:
Perfecto. Gracias por la información."
Scenario 39,Security,Customer reports a phishing email. Agent confirms it is fraudulent and advises to forward to the fraud team.,Anxious,"Agente:
Gracias por llamar a Not-a-real Bank. Mi nombre es Ryan. ¿En qué puedo ayudarte hoy?

Cliente (ansioso):
Hola, acabo de recibir un correo que dice que es de ustedes, pero me pide que haga clic en un enlace para verificar mi cuenta. ¿Es legítimo?

Agente:
Gracias por verificar. ¿Puedes decirme cuál es la dirección de correo del remitente y el asunto del mensaje?

Cliente:
El correo viene de support@notarealbank-security.com y el asunto dice “Verificación urgente de cuenta”.

Agente:
Eso no es una dirección válida de Not-a-real Bank. Nunca te pediremos que verifiques tu cuenta haciendo clic en un enlace. ¿Hiciste clic o ingresaste alguna información?

Cliente:
No, solo lo abrí.

Agente:
Bien hecho al no hacer clic. Aquí te indico los pasos a seguir:

    Elimina el correo inmediatamente.

    No respondas ni hagas clic en ningún enlace.

    Reenvía el correo a nuestro equipo de fraude a fraud@notarealbank.com.

¿Quieres que revisemos tu cuenta por actividad sospechosa?

Cliente:
Sí, por favor.

Agente:
Listo. No veo actividad sospechosa, pero mantente atento. Gracias por reportarlo."
Scenario 40,Account Management,Customer requests to convert an individual checking account to a joint account. Documentation requirements explained.,Inquisitive,"Agente:
Gracias por llamar a Not-a-real Bank. Mi nombre es Amanda. ¿En qué puedo ayudarte hoy?

Cliente:
Hola, quiero convertir mi cuenta corriente en una cuenta conjunta con mi esposa. ¿Cómo hago eso?

Agente:
Claro. ¿Quieres que ella sea co-propietaria o solo usuaria autorizada?

Cliente:
Co-propietaria. Quiero que tenga acceso completo a la cuenta.

Agente:
De acuerdo. Aquí está el proceso:

    Ambos deben visitar una sucursal juntos con una identificación válida.

    Completarán un formulario de solicitud conjunta y firmarán los acuerdos.

    Si tu esposa no es cliente, también deberá proporcionar su número de Seguro Social y un comprobante de domicilio.

Cliente:
¿Hay algún costo para hacer esto?

Agente:
No, convertir tu cuenta a conjunta no tiene costo. Sin embargo, ambos serán responsables por cualquier transacción o saldo adeudado.

Cliente:
De acuerdo. ¿Puedo mantener mi cuenta individual además de la conjunta?

Agente:
Sí, puedes hacerlo. Solo indícanos si deseas mantener ambas cuentas activas.

Cliente:
Perfecto. Gracias por la información.

Agente:
De nada. Llámanos o visítanos cuando estén listos para proceder."
Scenario 41,Business Banking,Business owner requests a 30-day increase to cover a large purchase. Documentation requested for review.,Hopeful,"Agente:
Gracias por llamar a Not-a-real Bank. Mi nombre es Megan. ¿En qué puedo ayudarte hoy?

Cliente (urgente):
Hola, tengo un gran pedido de inventario que necesito cubrir y quiero aumentar temporalmente el límite de crédito de mi cuenta comercial.

Agente:
Entendido. ¿Puedes confirmarme el nombre del negocio y los últimos cuatro dígitos de tu cuenta comercial?

Cliente:
Es ABC Electronics, y los últimos cuatro son 7890.

Agente:
Gracias, veo que tu límite actual es de $10,000. ¿Cuánto necesitas aumentar y por cuánto tiempo?

Cliente:
Necesito que suba a $15,000 durante los próximos 30 días.

Agente:
De acuerdo. Antes de proceder, necesitaré verificar tu ingreso actual y flujo de caja. ¿Quieres proporcionarlo por teléfono o prefieres enviarnos los estados financieros por correo electrónico?

Cliente:
Enviaré los documentos por correo. ¿A qué dirección?

Agente:
Envíalos a businesssupport@notarealbank.com e incluye en el asunto “Solicitud de aumento temporal del límite de crédito”. Una vez recibidos, el proceso de revisión tomará 1-2 días hábiles.

Cliente:
Perfecto. Lo haré ahora mismo.

Agente:
Excelente. Te notificaremos por correo electrónico tan pronto se complete la revisión."
Scenario 42,Account Management,Customer reports an incorrect transaction on their statement. Dispute form emailed for resolution.,Frustrated,"Agente:
Gracias por llamar a Not-a-real Bank. Mi nombre es Daniel. ¿En qué puedo ayudarte hoy?

Cliente (frustrado):
Hola, revisé mi extracto bancario y veo un cargo de $300 que no hice.

Agente:
Lamento escuchar eso. Vamos a revisar tu cuenta. ¿Puedes confirmarme tu nombre completo y los últimos cuatro dígitos de tu cuenta?

Cliente:
Soy Karen White, y los últimos cuatro son 4321.

Agente:
Gracias, Karen. Veo un cargo de $300 realizado el 12 de mayo a XYZ Services. ¿Reconoces esa transacción?

Cliente:
No, nunca he oído hablar de ellos.

Agente:
De acuerdo. Puedo iniciar un proceso de disputa. Aquí está lo que haremos:

    Marcaré el cargo como sospechoso y lo enviaré para revisión.

    Te enviaré un formulario de disputa por correo electrónico que debes completar y devolver en 5 días hábiles.

    Si se confirma que el cargo es no autorizado, se acreditarán los fondos en 7-10 días hábiles.

¿Quieres proceder?

Cliente:
Sí, por favor.

Agente:
Listo. El formulario será enviado a k.white@email.com en 15 minutos."
Scenario 43,Account Management,Customer asks about early withdrawal penalty on a 12-month CD. Agent calculates the fee.,Inquisitive,"Agente:
Gracias por llamar a Not-a-real Bank. Mi nombre es Linda. ¿En qué puedo ayudarte hoy?

Cliente:
Hola, tengo un CD a 12 meses, pero necesito el dinero ahora. ¿Qué penalidades hay por retiro anticipado?

Agente:
Entendido. ¿Puedes confirmarme tu nombre completo y los últimos cuatro dígitos de tu cuenta CD?

Cliente:
Soy Mark Jenkins, y los últimos cuatro son 9876.

Agente:
Gracias, Mark. Tu CD a 12 meses tiene un saldo de $5,000 y vence el 15 de diciembre. Si lo retiras ahora, se aplicará una penalidad de 90 días de interés, que equivale a $75.

Cliente:
¿Y si solo retiro la mitad?

Agente:
Puedes retirar hasta el 50% del saldo sin cerrar el CD, pero la penalidad seguirá siendo 90 días de interés sobre el monto retirado.

Cliente:
De acuerdo. Déjame pensarlo y te llamo de vuelta.

Agente:
Perfecto. Llámanos cuando decidas."
Scenario 44,Business Banking,Business owner requests the current USD to EUR exchange rate for a large transaction. Rate locked for 24 hours.,Worried,"Agente:
Gracias por llamar a Not-a-real Bank. Mi nombre es Kevin. ¿En qué puedo ayudarte hoy?

Cliente (dueño de negocio):
Hola, necesito hacer un pago grande a un proveedor en Europa. ¿Cuál es la tasa de cambio actual para el Euro?

Agente:
Claro. ¿Puedes confirmarme el nombre del negocio y los últimos cuatro dígitos de tu cuenta?

Cliente:
Es Global Supplies LLC, y los últimos cuatro son 3456.

Agente:
Gracias. La tasa de cambio actual para USD a EUR es de 1 USD = 0.92 EUR. ¿Cuánto deseas transferir?

Cliente:
$10,000. ¿Cuánto recibirán en Euros?

Agente:
A esa tasa, recibirán aproximadamente 9,200 EUR, menos cualquier tarifa de transferencia. ¿Quieres proceder o bloquear la tasa por 24 horas?

Cliente:
Bloquéala, por favor.

Agente:
De acuerdo. La tasa se ha bloqueado y recibirás un correo de confirmación. Tienes 24 horas para completar la transacción."
Scenario 45,Fraud,Customer reports a $500 unauthorized withdrawal despite a stop payment order. Fraud review initiated.,Inquisitive,"Agente:
Gracias por llamar a Not-a-real Bank. Mi nombre es Sarah. ¿En qué puedo ayudarte hoy?

Cliente (preocupado):
Hola, llamé hace unos días para detener un cheque perdido, pero veo un retiro de $500 que no hice.

Agente:
Lamento mucho escuchar eso. ¿Puedes confirmarme tu nombre completo y los últimos cuatro dígitos de tu cuenta?

Cliente:
Soy Emily Ross, y los últimos cuatro son 5678.

Agente:
Gracias, Emily. Veo el retiro de $500 con el cheque número 105. Ese cheque estaba incluido en la orden de detención. No debería haberse procesado.

Cliente:
¿Y ahora qué pasa?

Agente:
Voy a iniciar una investigación para determinar cómo se procesó el cheque. Mientras tanto, puedo poner una retención temporal en tu cuenta y emitir un reembolso provisional mientras se completa la investigación.

Cliente:
¿Y cuánto tardará esto?

Agente:
El proceso puede tardar hasta 10 días hábiles. Si se confirma que el cheque fue procesado por error, el reembolso será permanente.

Cliente:
De acuerdo. Gracias por tu ayuda.

Agente:
De nada, Emily. Mantente atenta a tu correo electrónico para recibir actualizaciones."
Scenario 46,Account Management,Customer updates the beneficiary address for their savings account. Confirmation email sent.,Frustrated,"Agente:
Gracias por llamar a Not-a-real Bank. Mi nombre es Rachel. ¿En qué puedo ayudarte hoy?

Cliente:
Hola, necesito actualizar la dirección del beneficiario en mi cuenta de ahorros.

Agente:
Claro. ¿Puedes confirmarme tu nombre completo y los últimos cuatro dígitos de tu cuenta?

Cliente:
Soy David King, y los últimos cuatro son 1234.

Agente:
Gracias, David. ¿Quieres actualizar la dirección existente o agregar un nuevo beneficiario?

Cliente:
Solo quiero actualizar la dirección de mi hijo.

Agente:
Perfecto. ¿Cuál es la nueva dirección?

Cliente:
789 Maple Street, Columbus, OH 43215.

Agente:
Gracias. La dirección del beneficiario ha sido actualizada. ¿Te gustaría recibir una confirmación por correo electrónico?

Cliente:
Sí, envíala a d.king@email.com.

Agente:
Listo. La confirmación llegará en 10 minutos."
Scenario 47,Account Management,Customer requests assistance setting up automatic bill payments for utilities. Schedule confirmed.,Neutral,"Agente:
Gracias por llamar a Not-a-real Bank. Mi nombre es Kevin. ¿En qué puedo ayudarte hoy?

Cliente:
Hola, quiero configurar pagos automáticos para mis facturas de electricidad y agua.

Agente:
Perfecto. ¿Quieres hacerlo a través de tu cuenta corriente o tarjeta de crédito?

Cliente:
A través de mi cuenta corriente.

Agente:
De acuerdo. ¿Puedes confirmarme tu nombre completo y los últimos cuatro dígitos de tu cuenta?

Cliente:
Soy Michael Chen, y los últimos cuatro son 7890.

Agente:
Gracias, Michael. Primero, ingresa al portal de banca en línea y selecciona la opción Pagos Automáticos.

    Agrega a Electricidad ABC como nuevo beneficiario.

    Ingresa el monto mensual y la fecha de pago.

    Repite los pasos para Agua XYZ.

¿Quieres que te envíe una guía paso a paso por correo electrónico?

Cliente:
Sí, por favor.

Agente:
La recibirás en 5 minutos."
Scenario 48,Fraud,Customer follows up on a previous report of a lost checkbook. Unauthorized transaction investigated.,Hopeful,"Agente:
Gracias por llamar a Not-a-real Bank. Mi nombre es Sarah. ¿En qué puedo ayudarte hoy?

Cliente (preocupado):
Hola, llamé hace una semana para reportar la pérdida de mi chequera, pero veo un retiro de $500 que no reconozco.

Agente:
Lamento escuchar eso. ¿Puedes confirmarme tu nombre completo y los últimos cuatro dígitos de tu cuenta?

Cliente:
Soy Emily Ross, y los últimos cuatro son 5678.

Agente:
Gracias, Emily. Veo el retiro de $500 con el cheque número 105, que estaba en la chequera reportada como perdida. Iniciaremos una investigación inmediata.

Cliente:
¿Y cuánto tiempo tomará?

Agente:
La investigación puede tardar hasta 10 días hábiles. Mientras tanto, emitiremos un reembolso provisional por el monto retirado. Si se confirma que el cheque fue procesado de forma indebida, el reembolso será permanente.

Cliente:
Gracias. ¿Me mantendrán informada?

Agente:
Sí, recibirás actualizaciones por correo electrónico y mensaje de texto."
